"tripes_intentados_aj","tl_intentados_aj","ro_aj","rd_aj","asistencias_aj","tapones_aj","perdidas_aj","faltas_aj","puntos_aj","posicion","all_stars","partidos_jugados","partidos_titular","jugador"
1.30476165620496,-1.22419855987881,-0.844375906828337,-0.764561811366168,-0.731663678744263,-1.14625198595951,-1.06988136735843,-0.572572114247582,-0.397956024427655,"SG",0,35,1,"A.J. Green"
0.378642690387902,-0.587035021494577,-0.17297343292082,-0.611466163161731,-1.32724308834818,-1.14625198595951,-1.24551562089879,-0.732980952576817,-0.364604294727022,"SG",0,15,0,"A.J. Lawson"
0.626662655186239,-0.78391616249785,-0.558857775244407,-0.864950423950241,-0.679501475398111,-0.538290824881187,-0.810946933596624,-0.971158644904277,0.14073685887265,"SF",0,72,12,"AJ Griffin"
-0.486084871297626,1.38683007068314,1.35800585294407,0.386439686150559,0.28368648284529,0.642321048309586,0.0276651658421457,-0.581618397842693,0.953945311962319,"PF",0,68,68,"Aaron Gordon"
-0.511117090204814,-0.830411801839373,-0.537612271974709,-1.37060611370498,-0.0415399329359848,-0.364988037610621,-0.477132530969062,-0.0426085369050877,-0.883114556226813,"PG",0,63,6,"Aaron Holiday"
0.644449379075285,-0.053267388635721,-0.293702819736024,-0.116226221340816,-0.602152295921489,0.136176168471435,-0.335195013992961,1.98873633361135,0.0411877129055161,"SF",0,73,60,"Aaron Nesmith"
-0.534401307572104,-0.511601534172307,0.25416092183926,-0.446599768048104,-0.567520360477741,-0.516038445468703,-0.363447205071639,-0.0663066218967935,-0.346691772044293,"SG",0,70,14,"Aaron Wiggins"
0.0775348508807547,-0.687444973853985,-0.0751604888245457,-0.951634221646395,-0.605789647934689,-0.731193990316696,-0.916021658193857,0.971798093417192,-0.692735482476145,"PF",0,37,0,"Admiral Schofield"
0.751382228113192,-1.17298487420979,0.0113226591962317,0.948617747451054,0.271211210976405,1.07363108641279,-1.12681261773741,-0.601146314733092,-0.318314618295516,"C",0,63,63,"Al Horford"
1.08445909368701,1.40404473714286,-0.758774616296042,-0.0831077969750212,0.138262496709976,-0.586847776127707,-0.00654377906336182,0.110667334963977,0.898480069228739,"SG",0,51,8,"Alec Burks"
0.238276274851675,-0.571159967702501,0.58033117206831,0.615128706286638,-0.0171181221249221,2.65921325102899,0.461355221886879,-0.108714877787542,-0.14886948603435,"PF",0,34,25,"Aleksej Pokusevski"
-0.370823547892697,-0.568207632094249,-0.517564668201429,-0.492627968859492,0.556693045823961,0.723622473875826,-0.0953726826761998,0.822543300501286,-0.906992301569191,"PG",0,67,36,"Alex Caruso"
-1.51786349832647,-0.352418882842568,1.48662995100256,0.26477261053518,-0.65730437475768,1.35320511765026,0.425220132930563,1.12277264641304,-1.28261589985783,"C",0,26,2,"Alex Len"
-1.06580842415938,-0.605051028727856,0.0791477429082535,0.977798702858325,-1.03664958287644,-1.14625198595951,1.61348112531567,-0.430994310077508,-1.32964503028362,"PF",0,4,0,"Alize Johnson"
-1.26408878548259,0.983300142316388,2.36378897102748,1.61271392370876,0.885563095949845,0.930393512185587,1.86987195464166,1.75346817336696,0.755327937856373,"C",0,75,72,"Alperen Şengün"
-0.968321344342553,0.0635401214872823,-0.705409805464766,-1.44758486132067,-0.297343694601569,-0.737627121533499,-0.932543584070786,-0.686526130718668,-0.999310794812521,"SF",0,50,9,"Amir Coffey"
-1.64773179436423,0.694998385280374,2.91708467681748,3.13158332086623,-0.946735278856648,0.471597400519508,0.874600774026927,1.12429996171646,-0.100640820511507,"C",0,67,0,"Andre Drummond"
-0.783909453170182,-0.947986180926732,-0.563104753362201,-0.301448515848232,0.90381541957961,0.365130176394242,0.686614174010343,0.0947620252752753,-1.51545302446815,"PF",0,8,0,"Andre Iguodala"
0.0867711836754808,-0.842546150584122,-0.722179882274074,-0.753817410413744,1.34026003912628,-0.669360515142799,0.620659156182978,0.375745381128647,-0.240571271587641,"SG",0,75,63,"Andrew Nembhard"
1.05864430323562,-0.270772192228925,0.385987181294092,-0.168587056016913,-0.188353186414822,0.561523814239804,-0.200182218938439,0.67953245043168,0.959275412261962,"SF",0,37,37,"Andrew Wiggins"
2.1525246969419,0.200594204691595,-1.01596637479009,-0.935390826055813,0.685828369299596,-0.744383392485422,0.727269202571781,-0.339084570352262,1.46978193566752,"SG",0,62,62,"Anfernee Simons"
-1.09326388407616,2.96448567441121,2.26360704177329,3.15181883070274,-0.0765175829718646,2.95810959649204,0.916792032259682,0.124513363179864,2.40135569977252,"C",0,56,54,"Anthony Davis"
1.338804744949,1.42636916494647,-0.727737428389721,0.697510296913878,0.796908043461225,0.231672972054539,2.18880683233804,-0.272337360769447,1.99186601005647,"SG",1,79,79,"Anthony Edwards"
-1.17617043474734,-0.0217524599243397,0.0406572731386038,-0.827737228360919,-0.76278222723298,-0.238680680227142,-1.10791852871175,0.195760655051559,-0.905612322082098,"PF",0,59,8,"Anthony Gill"
0.388272065734147,-0.535482333722871,0.0568510029130198,0.0354133209751026,-0.271832939019702,-0.227850817773559,-0.212979946703675,1.03282557514009,-0.426064514754516,"SF",0,62,4,"Anthony Lamb"
-0.0132007491528795,1.17377696959682,-0.739959956224279,-0.597645985018644,0.587674156283588,-0.452318147850359,0.245752694823503,-0.786464486897584,0.402008705108323,"SG",0,64,22,"Austin Reaves"
-0.131468827997251,-0.703015004919382,-1.16490787040418,-0.953358654060953,-0.360152640148542,-0.842271405420349,-1.20129686199348,-0.379188024796397,-0.912531603031308,"SG",0,52,10,"Austin Rivers"
