"jugador","edad","posicion","all_stars","partidos_jugados","partidos_titular","tiros_anotados_aj","tiros_intentados_aj","triples_anotados_aj","tripes_intentados_aj","tiros_2_anotados_aj","tiros_2_intentados_aj","tl_anotados_aj","tl_intentados_aj","ro_aj","rd_aj","rebotes_aj","asistencias_aj","robos_aj","tapones_aj","perdidas_aj","faltas_aj","puntos_aj"
"A.J. Green",23,"SG",0,35,1,0.361933755944712,0.868641014267308,0.31367592181875,0.723867511889424,0.0723867511889424,0.144773502377885,0.0241289170629808,0.0241289170629808,0.0482578341259616,0.265418087692789,0.31367592181875,0.144773502377885,0.0482578341259616,0,0.0723867511889424,0.217160253566827,1.06167235077115
"A.J. Lawson",22,"SG",0,15,0,0.438361282139626,0.847498478803278,0.204568598331826,0.496809453091577,0.233792683807801,0.379913111187676,0.0292240854759751,0.146120427379876,0.1168963419039,0.292240854759751,0.409137196663651,0.0292240854759751,0.0292240854759751,0,0.0584481709519502,0.204568598331826,1.08129116261108
"AJ Griffin",19,"SF",0,72,12,0.526638185276453,1.14621252089581,0.216851017466775,0.557616902057421,0.309787167809678,0.588595618838389,0.0929361503429035,0.108425508733387,0.0774467919524195,0.247829734247743,0.325276526200162,0.154893583904839,0.0929361503429035,0.0309787167809678,0.0929361503429035,0.185872300685807,1.37855289675307
"Aaron Gordon",27,"PF",0,68,68,0.717703112494611,1.27591664443486,0.102529016070659,0.284802822418496,0.615174096423952,0.979721709119628,0.318979161108716,0.524037193250033,0.273410709521757,0.467076628766334,0.751879451184831,0.341763386902196,0.0911369031739189,0.0911369031739189,0.159489580554358,0.216450145038057,1.8569144021686
"Aaron Holiday",26,"PG",0,63,6,0.298570321632308,0.696664083808719,0.119428128652923,0.278665633523488,0.179142192979385,0.417998450285232,0.0796187524352822,0.0995234405441028,0.0796187524352822,0.159237504870564,0.238856257305847,0.278665633523488,0.119428128652923,0.0398093762176411,0.119428128652923,0.258760945414667,0.776282836244002
"Aaron Nesmith",23,"SF",0,73,60,0.457423710460611,1.05860915849456,0.209107981924851,0.561977701423037,0.24831572853576,0.496631457071521,0.209107981924851,0.24831572853576,0.104553990962425,0.379008217238792,0.496631457071521,0.169900235313941,0.104553990962425,0.0653462443515159,0.130692488703032,0.418215963849702,1.31999413590062
"Aaron Wiggins",24,"SG",0,70,14,0.433519949029092,0.834927309241213,0.112394060859394,0.272957004944243,0.321125888169697,0.545914009888485,0.128450355267879,0.160562944084849,0.160562944084849,0.321125888169697,0.481688832254546,0.176619238493334,0.0963377664509092,0.0321125888169697,0.128450355267879,0.256900710535758,1.09182801977697
"Admiral Schofield",25,"PF",0,37,0,0.317239774130204,0.697927503086449,0.126895909652082,0.422986365506939,0.169194546202775,0.27494113757951,0.126895909652082,0.126895909652082,0.126895909652082,0.232642501028816,0.359538410680898,0.169194546202775,0.0422986365506939,0.0211493182753469,0.0845972731013877,0.338389092405551,0.888271367564571
"Al Horford",36,"C",0,63,63,0.407211644753892,0.859669027813773,0.260162995259431,0.588194597977844,0.147048649494461,0.271474429835928,0.022622869152994,0.033934303729491,0.135737214917964,0.56557172882485,0.701308943742814,0.33934303729491,0.056557172882485,0.11311434576497,0.067868607458982,0.214917256953443,1.10852058849671
"Alec Burks",31,"SG",0,51,8,0.555837611005622,1.28270217924374,0.27079268228479,0.669855582493955,0.285044928720832,0.612846596749788,0.427567393081248,0.527333118133539,0.0570089857441664,0.384810653773123,0.441819639517289,0.313549421592915,0.0997657250522911,0.0285044928720832,0.156774710796457,0.27079268228479,1.82428754381332
"Aleksej Pokusevski",21,"PF",0,34,25,0.477311582864485,1.08886704840961,0.164075856609667,0.462395595899969,0.313235726254818,0.641387439474151,0.0894959217870908,0.149159869645151,0.193907830538697,0.507143556793515,0.701051387332212,0.283403752325788,0.0894959217870908,0.193907830538697,0.193907830538697,0.253571778396757,1.20819494412573
"Alex Caruso",28,"PG",0,67,36,0.258616124397715,0.585289123636933,0.108890999746406,0.313061624270918,0.149725124651309,0.272227499366015,0.122502374714707,0.149725124651309,0.0816682498098046,0.313061624270918,0.394729874080722,0.394729874080722,0.204170624524512,0.0952796247781054,0.149725124651309,0.326672999239218,0.762236998224843
"Alex Len",29,"C",0,26,2,0.191040099292453,0.382080198584905,0,0.0318400165487421,0.191040099292453,0.350240182036163,0.127360066194968,0.191040099292453,0.286560148938679,0.445760231682389,0.732320380621068,0.15920008274371,0.0636800330974842,0.127360066194968,0.191040099292453,0.350240182036163,0.541280281328615
"Alize Johnson",26,"PF",0,4,0,0.228273724106269,0.428013232699254,0,0.142671077566418,0.228273724106269,0.285342155132836,0.0856026465398508,0.142671077566418,0.142671077566418,0.570684310265672,0.71335538783209,0.0856026465398508,0.0856026465398508,0,0.285342155132836,0.228273724106269,0.513615879239105
"Alperen Şengün",20,"C",0,75,72,0.693680451015231,1.25803064845135,0.0352718873397575,0.0940583662393534,0.658408563675474,1.163972282212,0.317446986057818,0.446777239636928,0.376233464957414,0.681923155235312,1.05815662019273,0.458534535416848,0.105815662019273,0.105815662019273,0.305689690277898,0.399748056517252,1.74007977542804
"Amir Coffey",25,"SF",0,50,9,0.229036692319106,0.603824007023097,0.0416430349671101,0.166572139868441,0.187393657351996,0.437251867154656,0.208215174835551,0.270679727286216,0.0624645524506652,0.145750622384885,0.229036692319106,0.229036692319106,0.0208215174835551,0.0208215174835551,0.0832860699342203,0.208215174835551,0.707931594440872
"Andre Drummond",29,"C",0,67,0,0.515235400164189,0.84498605626927,0,0,0.515235400164189,0.824376640262702,0.206094160065676,0.391578904124784,0.432797736137919,0.948033136302107,1.36022145643346,0.103047080032838,0.144265912045973,0.0824376640262702,0.226703576072243,0.350360072111648,1.23656496039405
"Andre Iguodala",39,"PF",0,8,0,0.17327838790346,0.365809930018416,0.0192531542114956,0.211784696326452,0.154025233691965,0.154025233691965,0.0577594626344868,0.0770126168459824,0.0770126168459824,0.346556775806921,0.404316238441408,0.462075701075894,0.096265771057478,0.0770126168459824,0.211784696326452,0.269544158960938,0.404316238441408
